"ID","year_zero","SEX","POD","age_value","ind"
"HAMSTER",2022,"F","DOUBTFUL","actual",1
"FURY",2022,"F","DOUBTFUL","actual",2
"ROCKET",2022,"F","DOUBTFUL","actual",3
"SUNSHINE",2022,"F","DUSKY","actual",4
"YULE",2021,"F","DOUBTFUL","actual",5
"SKUNK",2019,"F","DOUBTFUL","actual",6
"EMMY",2020,"F","DOUBTFUL","actual",7
"GAZEBO",2016,"F","DOUBTFUL","actual",8
"LOTTO",2017,"F","DOUBTFUL","actual",9
"PONCHO",2017,"F","DUSKY","actual",10
"SUZY",2014,"F","DUSKY","actual",11
"GERBIL",2010,"F","DOUBTFUL","actual",12
"SOOTY",2008,"F","DUSKY","actual",13
"BENDY",2011,"F","DUSKY","actual",14
"ALYSA",2012,"F","DOUBTFUL","actual",15
"MACHINE",2016,"F","DUSKY","actual",16
"MENTRY",2017,"F","DOUBTFUL","actual",17
"BEE",2006,"F","DUSKY","est",18
"CHEWY",2013,"F","DOUBTFUL","actual",19
"C3P0",2013,"F","DOUBTFUL","actual",20
"COMET",2005,"F","DOUBTFUL","actual",21
"FLEM",2014,"F","DOUBTFUL","actual",22
"FRENZY",2011,"F","DOUBTFUL","actual",23
"BIVALVE",2016,"F","DOUBTFUL","actual",24
"DARK",2000,"F","DUSKY","est",25
"WRINKLE",1999,"F","DUSKY","est",26
"TR120",1989,"F","DOUBTFUL","est",27
"SCRATCHY",1999,"F","DOUBTFUL","est",28
"ELLIE",1988,"F","DOUBTFUL","est",29
"JIGSAW",1995,"F","DUSKY","est",30
"GLOB",1984,"F","DOUBTFUL","est",31
"WHITETIP",1984,"F","DOUBTFUL","est",32
"HEX",2008,"F","DUSKY","actual",33
"TICK-TACK",1999,"F","DOUBTFUL","est",34
"CHAZ",2010,"F","DUSKY","actual",35
"2-SCALLOPS",1995,"F","DOUBTFUL","actual",36
"COOPER",2001,"F","DUSKY","est",37
"MINUS",2006,"F","DUSKY","actual",38
"BAFTA",2011,"F","DOUBTFUL","actual",39
"LEDGE",2006,"F","DUSKY","actual",40
"TODAS",2014,"F","DUSKY","actual",41
"RAY",1998,"F","DUSKY","est",42
"DART",2008,"F","DOUBTFUL","actual",43
"BLOTCH",2004,"F","DUSKY","est",44
"FIVE",1989,"F","DOUBTFUL","est",45
"SN4",1986,"F","DOUBTFUL","est",46
"SLOT",2001,"F","DUSKY","est",47
"NOTCHES",1998,"F","DUSKY","est",48
"ARROW",1998,"F","DUSKY","est",49
"SN9",1990,"F","DOUBTFUL","est",50
"CROSS",2001,"F","DUSKY","est",51
"FLOO",2019,"F","DUSKY","actual",52
"GAMBLE",2020,"F","DUSKY","actual",53
"BOARD",2021,"M","DOUBTFUL","actual",54
"NOIR",2021,"M","DUSKY","actual",55
"SUX",2021,"M","DOUBTFUL","actual",56
"GULLY",2017,"M","DUSKY","actual",57
"SPECKLE",2020,"M","DUSKY","actual",58
"SHMEE",2013,"M","DOUBTFUL","actual",59
"LODE",2016,"M","DUSKY","actual",60
"HANDY",2010,"M","DOUBTFUL","actual",61
"CHOMP",2016,"M","DOUBTFUL","actual",62
"R2D2",2013,"M","DOUBTFUL","actual",63
"MYSTERY",2012,"M","DUSKY","actual",64
"BATMAN",2017,"M","DUSKY","actual",65
"PIGLET",2010,"M","DOUBTFUL","actual",66
"JACK",2013,"M","DOUBTFUL","actual",67
"G",1996,"M","DOUBTFUL","actual",68
"LEOPARD",2006,"M","DUSKY","est",69
"HOBO",2014,"M","DUSKY","actual",70
"TACO",2011,"M","DUSKY","actual",71
"NESS",2014,"M","DUSKY","actual",72
"DANGER",2016,"M","DOUBTFUL","actual",73
"POP",2010,"M","DUSKY","actual",74
"MUSSEL",2011,"M","DOUBTFUL","actual",75
"REEL",2008,"M","DUSKY","est",76
"SEAL",2008,"M","DOUBTFUL","actual",77
"GILL",2006,"M","DUSKY","est",78
"ALASKA",2011,"M","DOUBTFUL","actual",79
"MUS",1996,"M","DOUBTFUL","est",80
"DN63",1994,"M","DOUBTFUL","est",81
"PATIO",2008,"M","DOUBTFUL","actual",82
"BUENOS",2011,"M","DUSKY","actual",83
"UPBANG",1994,"M","DOUBTFUL","est",84
"SN96",1994,"M","DOUBTFUL","est",85
"SIDEMARK",2005,"M","DUSKY","actual",86
"SPLASH",2006,"M","DOUBTFUL","actual",87
"POXFIN",2001,"M","DOUBTFUL","est",88
"LOWSPOT",2006,"M","DUSKY","est",89
"BETSY",2010,"M","DUSKY","actual",90
"ZEBRA",2004,"M","DOUBTFUL","est",91
"NUMBER-1",1996,"M","DOUBTFUL","est",92
"BADGE",2008,"M","DUSKY","actual",93
"TAMATEA",2010,"M","DUSKY","actual",94
"TOFFEE",2023,"X","DOUBTFUL","actual",95
"SESAME",2023,"X","DOUBTFUL","actual",96
"HIVE",2022,"X","DUSKY","actual",97
"ICE",2022,"X","DUSKY","actual",98
"TRIG",2023,"X","DUSKY","actual",99
"FRISBEE",2022,"X","DOUBTFUL","actual",100
"BOBA",2022,"X","DOUBTFUL","actual",101
"TAMALE",2022,"X","DUSKY","actual",102
"CRUMPLE",2021,"X","DUSKY","actual",103
"KEW",2021,"X","DUSKY","actual",104
"SHIVERS",2021,"X","DOUBTFUL","actual",105
"ASTRO",2018,"X","DOUBTFUL","actual",106
"DOODLE",2019,"X","DUSKY","actual",107
"JOLLY-GOOD",2017,"X","DOUBTFUL","actual",108
"TOE",2016,"X","DOUBTFUL","actual",109
"DIVIDE",2019,"X","DUSKY","actual",110
"HOLY",2014,"X","DUSKY","actual",111
"QUIVER",2018,"X","DUSKY","actual",112
"OOMPA",2016,"X","DUSKY","actual",113
"RHODES",2015,"X","DUSKY","actual",114
"JENGA",2016,"X","DUSKY","actual",115
"INKA",2009,"X","DUSKY","actual",116
"RYDER",2014,"X","DUSKY","actual",117
"BORAT",2011,"X","DUSKY","actual",118
"ADAM",2019,"X","DUSKY","actual",119
"MOLE",2014,"X","DUSKY","actual",120
"ITCHY",2013,"X","DOUBTFUL","actual",121
"SMUDGE",2017,"X","DOUBTFUL","actual",122
"HALLEY",2014,"X","DOUBTFUL","actual",123
"TUX",2012,"X","DUSKY","actual",124
"CUB",2013,"X","DUSKY","actual",125
"SPARE",2013,"X","DUSKY","actual",126
"DUB",2006,"X","DUSKY","est",127
"RIDGE",2006,"X","DUSKY","actual",128
"CHIP",2012,"X","DOUBTFUL","actual",129
"BOXY",2008,"X","DUSKY","actual",130
"TOP",2010,"X","DUSKY","actual",131
"PAW",2009,"X","DUSKY","actual",132
"VINYL",2006,"X","DUSKY","est",133
"ONEPLUS",2006,"X","DUSKY","est",134
"MAUL",2007,"X","DUSKY","est",135
"KEEL",2006,"X","DUSKY","est",136
"OYSTER",2006,"X","DUSKY","est",137
"SCOOP",2006,"X","DUSKY","est",138
"PIMPLE",2006,"X","DUSKY","est",139
"OAK",2016,"X","DUSKY","actual",140
"RIP",2016,"X","DUSKY","actual",141
"STRAW",2021,"X","DUSKY","actual",142
"TATTOO",2007,"X","DUSKY","est",143
